 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.08663     Clsurf  =  -0.01313
     CYsurf  =  -0.00759     Cmsurf  =  -0.01905
     CDsurf  =   0.00152     Cnsurf  =   0.00022
     CDisurf =   0.00152     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.17050     CDsurf  =   0.00297

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    68  41.0485  32.8346   1.9190   3.0383   0.9721   0.2720   0.0041   0.1171   0.0895  -0.0035   0.0000  -0.0619  -0.0718    0.942
    69  41.2438  33.1504   1.9467   2.9604   0.9286   0.2603   0.0059   0.1150   0.0879  -0.0052   0.0000  -0.0573  -0.0675    0.901
    70  41.4291  33.4502   1.9729   2.8866   0.8314   0.2464   0.0071   0.1116   0.0854  -0.0100   0.0000  -0.0488  -0.0597    0.822
    71  41.8199  33.7262   1.9971   2.6622   0.7082   0.2305   0.0073   0.3939   0.0866  -0.0008   0.0000  -0.0239  -0.0186    0.526
    72  42.3833  33.9779   2.0191   2.3104   0.5525   0.2146   0.0097   0.4225   0.0929   0.0003   0.0000  -0.0182  -0.0169    0.446
    73  42.8863  34.2026   2.0388   1.9964   0.4230   0.1970   0.0119   0.4488   0.0987  -0.0002   0.0000  -0.0154  -0.0164    0.406
    74  43.3282  34.4000   2.0560   1.7205   0.3171   0.1775   0.0143   0.4695   0.1032  -0.0007   0.0000  -0.0133  -0.0160    0.379
    75  43.7082  34.5698   2.0709   1.4833   0.2320   0.1561   0.0170   0.4787   0.1052  -0.0013   0.0000  -0.0110  -0.0153    0.354
    76  44.0258  34.7116   2.0833   1.2850   0.1649   0.1322   0.0196   0.4681   0.1029  -0.0018   0.0000  -0.0078  -0.0137    0.326
    77  44.2804  34.8254   2.0932   1.1261   0.1126   0.1059   0.0219   0.4278   0.0940  -0.0022   0.0000  -0.0041  -0.0113    0.293
    78  44.4718  34.9108   2.1007   1.0066   0.0720   0.0773   0.0234   0.3495   0.0768  -0.0025   0.0000  -0.0006  -0.0081    0.258
    79  44.5995  34.9679   2.1057   0.9269   0.0398   0.0471   0.0246   0.2313   0.0508  -0.0023   0.0000   0.0012  -0.0047    0.227
    80  44.6634  34.9964   2.1082   0.8870   0.0127   0.0158   0.0255   0.0812   0.0179  -0.0014   0.0000   0.0006  -0.0016    0.218

  Surface # 2     main_wing (YDUP)                        
     # Chordwise = 10   # Spanwise = 80     First strip = 81
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.08663     Clsurf  =   0.01313
     CYsurf  =   0.00759     Cmsurf  =  -0.01905
     CDsurf  =   0.00152     Cnsurf  =  -0.00022
     CDisurf =   0.00152     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.17050     CDsurf  =   0.00297

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    81  22.4080  -0.0036  -0.9570  12.4590   0.1808   2.4692  -0.0465   0.1982   0.1982   0.0023   0.0000  -0.0417   0.0913    0.461
    82  22.4080  -0.0327  -0.9570  12.4590   0.5422   2.4692  -0.0465   0.1982   0.1982   0.0023   0.0000  -0.0417   0.0913    0.461
    83  22.4080  -0.0907  -0.9570  12.4590   0.9028   2.4696  -0.0465   0.1982   0.1982   0.0022   0.0000  -0.0418   0.0913    0.461
    84  22.4080  -0.1775  -0.9570  12.4590   1.2619   2.4709  -0.0466   0.1983   0.1983   0.0022   0.0000  -0.0418   0.0914    0.461
    85  22.4080  -0.2932  -0.9570  12.4590   1.6191   2.4741  -0.0468   0.1986   0.1986   0.0021   0.0000  -0.0420   0.0916    0.462
    86  22.4080  -0.4374  -0.9570  12.4590   1.9739   2.4803  -0.0472   0.1991   0.1991   0.0021   0.0000  -0.0423   0.0921    0.463
    87  22.4080  -0.6100  -0.9570  12.4590   2.3255   2.4912  -0.0479   0.1999   0.1999   0.0021   0.0000  -0.0429   0.0928    0.464
    88  22.4080  -0.8106  -0.9570  12.4590   2.6736   2.5087  -0.0487   0.2014   0.2014   0.0020   0.0000  -0.0437   0.0940    0.467
    89  22.4080  -1.0391  -0.9570  12.4590   3.0176   2.5357  -0.0498   0.2035   0.2035   0.0020   0.0000  -0.0450   0.0959    0.471
    90  22.4080  -1.2949  -0.9570  12.4590   3.3569   2.5761  -0.0509   0.2068   0.2068   0.0021   0.0000  -0.0469   0.0986    0.477
    91  22.4080  -1.5778  -0.9570  12.4590   3.6910   2.6358  -0.0514   0.2116   0.2116   0.0021   0.0000  -0.0496   0.1025    0.484
    92  22.4080  -1.8873  -0.9570  12.4590   4.0195   2.7245  -0.0507   0.2187   0.2187   0.0022   0.0000  -0.0535   0.1082    0.495
    93  22.4080  -2.2230  -0.9570  12.4590   4.3417   2.8620  -0.0479   0.2297   0.2297   0.0026   0.0000  -0.0594   0.1168    0.509
    94  22.4080  -2.5842  -0.9570  12.4590   4.6573   3.1058  -0.0420   0.2493   0.2493   0.0051   0.0000  -0.0693   0.1317    0.528
    95  22.4974  -2.9170  -0.9395  12.3826   3.6189   3.6746   0.3862   0.3679   0.2968   0.0502   0.0000  -0.0920   0.1411    0.560
    96  22.6846  -3.2159  -0.9028  12.2227   3.7885   3.8345   0.3951   0.3889   0.3137   0.0489   0.0000  -0.0992   0.1508    0.566
    97  22.8826  -3.5322  -0.8639  12.0536   3.9437   3.8303   0.4018   0.3939   0.3178   0.0470   0.0000  -0.0997   0.1522    0.564
    98  23.0912  -3.8653  -0.8230  11.8754   4.0839   3.6265   0.4051   0.3785   0.3054   0.0415   0.0000  -0.0923   0.1432    0.552
    99  23.3498  -4.2783  -0.7723  11.6545   5.7066   2.9281  -0.0169   0.3114   0.2512   0.0013   0.0000  -0.0645   0.1081    0.507
   100  23.6607  -4.7750  -0.7113  11.3888   5.8186   2.5997  -0.0163   0.2829   0.2283   0.0015   0.0000  -0.0518   0.0924    0.477
   101  23.9847  -5.2923  -0.6478  11.1120   5.9047   2.3736  -0.0154   0.2648   0.2136   0.0014   0.0000  -0.0433   0.0821    0.453
   102  24.3210  -5.8296  -0.5818  10.8247   5.9646   2.1992  -0.0141   0.2518   0.2032   0.0011   0.0000  -0.0371   0.0747    0.433
   103  24.6694  -6.3859  -0.5135  10.5270   5.9985   2.0564  -0.0126   0.2421   0.1953   0.0009   0.0000  -0.0324   0.0690    0.416
   104  25.0291  -6.9605  -0.4430  10.2197   6.0065   1.9350  -0.0109   0.2347   0.1893   0.0006   0.0000  -0.0287   0.0646    0.402
   105  25.3998  -7.5524  -0.3703   9.9031   5.9889   1.8287  -0.0093   0.2289   0.1847   0.0004   0.0000  -0.0258   0.0611    0.390
   106  25.7806  -8.1608  -0.2956   9.5777   5.9462   1.7337  -0.0077   0.2244   0.1810   0.0002   0.0000  -0.0235   0.0584    0.380
   107  26.1712  -8.7846  -0.2190   9.2440   5.8788   1.6474  -0.0063   0.2209   0.1782   0.0001   0.0000  -0.0216   0.0562    0.371
   108  26.5709  -9.4230  -0.1406   8.9025   5.7875   1.5681  -0.0056   0.2183   0.1761  -0.0001   0.0000  -0.0202   0.0546    0.365
   109  26.9647 -10.0557  -0.0738   8.6530   5.3824   1.4997  -0.0043   0.2267   0.1733  -0.0002   0.0000  -0.0189   0.0530    0.359
   110  27.3514 -10.6811  -0.0191   8.4988   5.3831   1.4425  -0.0015   0.2220   0.1697  -0.0004   0.0000  -0.0177   0.0512    0.354
   111  27.7448 -11.3174   0.0366   8.3420   5.3704   1.3895   0.0003   0.2179   0.1666  -0.0005   0.0000  -0.0169   0.0498    0.351
   112  28.1443 -11.9635   0.0931   8.1827   5.3448   1.3395   0.0014   0.2141   0.1637  -0.0005   0.0000  -0.0163   0.0487    0.350
   113  28.5492 -12.6185   0.1504   8.0213   5.3066   1.2917   0.0021   0.2106   0.1610  -0.0006   0.0000  -0.0159   0.0478    0.349
   114  28.9591 -13.2814   0.2084   7.8579   5.2564   1.2456   0.0025   0.2073   0.1585  -0.0006   0.0000  -0.0157   0.0471    0.349
   115  29.3731 -13.9510   0.2670   7.6928   5.1948   1.2008   0.0028   0.2041   0.1561  -0.0007   0.0000  -0.0156   0.0465    0.350
   116  29.7907 -14.6265   0.3261   7.5263   5.1222   1.1569   0.0029   0.2010   0.1537  -0.0007   0.0000  -0.0156   0.0460    0.351
   117  30.2113 -15.3067   0.3856   7.3587   5.0393   1.1138   0.0029   0.1980   0.1514  -0.0007   0.0000  -0.0157   0.0455    0.353
   118  30.6342 -15.9907   0.4454   7.1901   4.9468   1.0711   0.0028   0.1948   0.1490  -0.0007   0.0000  -0.0158   0.0452    0.356
   119  31.0587 -16.6772   0.5055   7.0209   4.8453   1.0286   0.0027   0.1916   0.1465  -0.0007   0.0000  -0.0160   0.0448    0.359
   120  31.4842 -17.3654   0.5657   6.8512   4.7356   0.9860   0.0025   0.1882   0.1439  -0.0006   0.0000  -0.0164   0.0446    0.364
   121  31.9100 -18.0541   0.6259   6.6815   4.6182   0.9433   0.0021   0.1846   0.1412  -0.0006   0.0000  -0.0168   0.0444    0.369
   122  32.3355 -18.7423   0.6861   6.5119   4.4941   0.9003   0.0016   0.1808   0.1382  -0.0006   0.0000  -0.0174   0.0443    0.376
   123  32.7600 -19.4289   0.7462   6.3426   4.3638   0.8570   0.0010   0.1767   0.1351  -0.0005   0.0000  -0.0184   0.0444    0.386
   124  33.1829 -20.1128   0.8060   6.1740   4.2281   0.8138   0.0002   0.1724   0.1318  -0.0004   0.0000  -0.0199   0.0450    0.401
   125  33.6034 -20.7930   0.8655   6.0064   4.0877   0.7711  -0.0007   0.1679   0.1284  -0.0001   0.0000  -0.0222   0.0462    0.423
   126  34.0211 -21.4685   0.9246   5.8399   3.9435   0.7293  -0.0016   0.1633   0.1249   0.0004   0.0000  -0.0261   0.0488    0.459
   127  34.4351 -22.1382   0.9832   5.6748   3.7961   0.6892  -0.0025   0.1588   0.1214   0.0015   0.0000  -0.0334   0.0543    0.525
   128  34.7955 -22.7210   1.0342   5.5312   2.7734   0.6546  -0.0031   0.1548   0.1183   0.0063   0.0000  -0.0545   0.0716    0.711
   129  35.1476 -23.2905   1.0840   5.3908   3.4568   0.6220  -0.0036   0.1509   0.1154   0.0002   0.0000  -0.0613   0.0767    0.781
   130  35.5398 -23.9248   1.1395   5.2344   3.3083   0.5889  -0.0039   0.1471   0.1125  -0.0014   0.0000  -0.0643   0.0787    0.822
   131  35.9260 -24.5495   1.1942   5.0805   3.1592   0.5579  -0.0042   0.1436   0.1098  -0.0019   0.0000  -0.0659   0.0795    0.850
   132  36.3056 -25.1635   1.2479   4.9291   3.0101   0.5290  -0.0044   0.1404   0.1073  -0.0020   0.0000  -0.0669   0.0798    0.873
   133  36.6781 -25.7659   1.3006   4.7806   2.8615   0.5022  -0.0045   0.1374   0.1051  -0.0020   0.0000  -0.0674   0.0798    0.892
   134  37.0428 -26.3559   1.3522   4.6352   2.7141   0.4774  -0.0045   0.1347   0.1030  -0.0020   0.0000  -0.0678   0.0797    0.908
   135  37.3992 -26.9323   1.4027   4.4931   2.5684   0.4543  -0.0044   0.1323   0.1011  -0.0020   0.0000  -0.0680   0.0795    0.923
   136  37.7468 -27.4945   1.4518   4.3545   2.4247   0.4330  -0.0044   0.1301   0.0994  -0.0019   0.0000  -0.0682   0.0792    0.936
   137  38.0850 -28.0415   1.4997   4.2197   2.2835   0.4133  -0.0042   0.1281   0.0979  -0.0019   0.0000  -0.0683   0.0790    0.948
   138  38.4133 -28.5725   1.5461   4.0888   2.1452   0.3950  -0.0041   0.1263   0.0966  -0.0019   0.0000  -0.0684   0.0788    0.958
   139  38.7312 -29.0866   1.5911   3.9621   2.0101   0.3781  -0.0039   0.1248   0.0954  -0.0019   0.0000  -0.0685   0.0786    0.967
   140  39.0382 -29.5831   1.6346   3.8397   1.8786   0.3626  -0.0036   0.1235   0.0944  -0.0018   0.0000  -0.0685   0.0784    0.975
   141  39.3338 -30.0612   1.6764   3.7219   1.7508   0.3484  -0.0032   0.1224   0.0936  -0.0018   0.0000  -0.0685   0.0782    0.982
   142  39.6175 -30.5202   1.7165   3.6087   1.6269   0.3354  -0.0027   0.1216   0.0930  -0.0019   0.0000  -0.0684   0.0781    0.986
   143  39.8890 -30.9593   1.7550   3.5005   1.5072   0.3236  -0.0020   0.1209   0.0924  -0.0019   0.0000  -0.0683   0.0778    0.989
   144  40.1478 -31.3779   1.7916   3.3973   1.3917   0.3127  -0.0012   0.1204   0.0920  -0.0019   0.0000  -0.0680   0.0775    0.989
   145  40.3935 -31.7753   1.8263   3.2994   1.2804   0.3024  -0.0001   0.1199   0.0917  -0.0021   0.0000  -0.0674   0.0769    0.986
   146  40.6258 -32.1509   1.8592   3.2068   1.1734   0.2925   0.0012   0.1193   0.0912  -0.0023   0.0000  -0.0664   0.0760    0.978
   147  40.8442 -32.5042   1.8901   3.1197   1.0707   0.2825   0.0026   0.1184   0.0906  -0.0027   0.0000  -0.0647   0.0744    0.965
   148  41.0485 -32.8346   1.9190   3.0383   0.9721   0.2720   0.0041   0.1171   0.0895  -0.0035   0.0000  -0.0619   0.0718    0.942
   149  41.2438 -33.1504   1.9467   2.9604   0.9286   0.2603   0.0059   0.1150   0.0879  -0.0052   0.0000  -0.0573   0.0675    0.901
   150  41.4291 -33.4502   1.9729   2.8866   0.8314   0.2464   0.0071   0.1116   0.0854  -0.0100   0.0000  -0.0488   0.0597    0.822
   151  41.8199 -33.7262   1.9971   2.6622   0.7082   0.2305   0.0073   0.3939   0.0866  -0.0008   0.0000  -0.0239   0.0186    0.526
   152  42.3833 -33.9779   2.0191   2.3104   0.5525   0.2146   0.0097   0.4225   0.0929   0.0003   0.0000  -0.0182   0.0169    0.446
   153  42.8863 -34.2026   2.0388   1.9964   0.4230   0.1970   0.0119   0.4488   0.0987  -0.0002   0.0000  -0.0154   0.0164    0.406
   154  43.3282 -34.4000   2.0560   1.7205   0.3171   0.1775   0.0143   0.4695   0.1032  -0.0007   0.0000  -0.0133   0.0160    0.379
   155  43.7082 -34.5698   2.0709   1.4833   0.2320   0.1561   0.0170   0.4787   0.1052  -0.0013   0.0000  -0.0110   0.0153    0.354
