 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.24587     Clsurf  =  -0.04528
     CYsurf  =  -0.01924     Cmsurf  =  -0.94387
     CDsurf  =   0.00508     Cnsurf  =   0.00699
     CDisurf =   0.00508     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.48353     CDsurf  =   0.00996

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
   121  38.5467 -28.7882   1.5650   4.0357   2.4467   1.9044   0.0141   0.6198   0.4725  -0.0096   0.0000  -0.0916   0.1788    0.444
   122  38.9130 -29.3807   1.6168   3.8896   2.2675   1.8291   0.0154   0.6177   0.4709  -0.0097   0.0000  -0.0908   0.1778    0.443
   123  39.2646 -29.9494   1.6666   3.7494   2.0939   1.7533   0.0170   0.6143   0.4682  -0.0098   0.0000  -0.0897   0.1763    0.442
   124  39.6008 -30.4931   1.7142   3.6154   1.9264   1.6764   0.0188   0.6091   0.4643  -0.0100   0.0000  -0.0881   0.1742    0.440
   125  39.9208 -31.0107   1.7595   3.4878   1.7654   1.5973   0.0208   0.6016   0.4586  -0.0102   0.0000  -0.0861   0.1712    0.438
   126  40.2241 -31.5013   1.8024   3.3669   1.6109   1.5152   0.0226   0.5912   0.4507  -0.0105   0.0000  -0.0834   0.1672    0.435
   127  40.5101 -31.9637   1.8428   3.2529   1.4631   1.4294   0.0243   0.5773   0.4401  -0.0109   0.0000  -0.0801   0.1621    0.432
   128  40.7780 -32.3972   1.8807   3.1461   1.3219   1.3393   0.0256   0.5593   0.4264  -0.0116   0.0000  -0.0762   0.1559    0.429
   129  41.0275 -32.8007   1.9161   3.0466   1.1875   1.2451   0.0265   0.5371   0.4094  -0.0130   0.0000  -0.0719   0.1486    0.426
   130  41.2443 -33.1513   1.9467   2.9602   0.9321   1.1511   0.0267   0.5112   0.3897  -0.0174   0.0000  -0.0673   0.1404    0.423
   131  41.4296 -33.4511   1.9730   2.8863   0.8279   1.0584   0.0253   0.4827   0.3680  -0.0302   0.0000  -0.0619   0.1311    0.418
   132  41.8525 -33.7408   1.9984   2.6418   0.7761   0.9608   0.0225   1.6673   0.3639   0.0012   0.0000  -0.0350   0.0522    0.346
   133  42.4709 -34.0170   2.0225   2.2558   0.5879   0.8657   0.0294   1.7618   0.3845  -0.0135   0.0000  -0.0257   0.0505    0.317
   134  43.0147 -34.2599   2.0438   1.9163   0.4349   0.7684   0.0371   1.8422   0.4020  -0.0224   0.0000  -0.0185   0.0494    0.296
   135  43.4828 -34.4691   2.0621   1.6240   0.3131   0.6658   0.0444   1.8846   0.4113  -0.0308   0.0000  -0.0093   0.0466    0.272
   136  43.8744 -34.6440   2.0774   1.3796   0.2184   0.5561   0.0499   1.8545   0.4047  -0.0394   0.0000   0.0036   0.0406    0.241
