 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00398     Clsurf  =   0.00508
     CYsurf  =  -0.00025     Cmsurf  =  -0.00510
     CDsurf  =   0.00112     Cnsurf  =  -0.00017
     CDisurf =   0.00112     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.00781     CDsurf  =   0.00219

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
   126  34.0211 -21.4685   0.9246   5.8399   3.9435  -0.4842  -0.0110  -0.1081  -0.0829   0.0008   0.0000  -0.0401   0.0166   -0.233
   127  34.4351 -22.1382   0.9832   5.6748   3.7961  -0.5011  -0.0117  -0.1151  -0.0884   0.0000   0.0000  -0.0500   0.0239   -0.316
   128  34.7955 -22.7210   1.0342   5.5312   2.7734  -0.5138  -0.0123  -0.1195  -0.0917   0.0366   0.0000  -0.0743   0.0437   -0.560
   129  35.1476 -23.2905   1.0840   5.3908   3.4568  -0.5242  -0.0126  -0.1262  -0.0968   0.0136   0.0000  -0.0832   0.0504   -0.609
   130  35.5398 -23.9248   1.1395   5.2344   3.3083  -0.5328  -0.0129  -0.1325  -0.1017   0.0047   0.0000  -0.0874   0.0530   -0.610
   131  35.9260 -24.5495   1.1942   5.0805   3.1592  -0.5389  -0.0133  -0.1383  -0.1061   0.0012   0.0000  -0.0898   0.0542   -0.596
   132  36.3056 -25.1635   1.2479   4.9291   3.0101  -0.5425  -0.0136  -0.1435  -0.1102  -0.0005   0.0000  -0.0913   0.0546   -0.579
   133  36.6781 -25.7659   1.3006   4.7806   2.8615  -0.5437  -0.0139  -0.1483  -0.1138  -0.0014   0.0000  -0.0924   0.0548   -0.562
   134  37.0428 -26.3559   1.3522   4.6352   2.7141  -0.5425  -0.0141  -0.1527  -0.1172  -0.0019   0.0000  -0.0933   0.0548   -0.546
   135  37.3992 -26.9323   1.4027   4.4931   2.5684  -0.5389  -0.0144  -0.1565  -0.1201  -0.0023   0.0000  -0.0940   0.0548   -0.533
   136  37.7468 -27.4945   1.4518   4.3545   2.4247  -0.5329  -0.0146  -0.1597  -0.1225  -0.0026   0.0000  -0.0946   0.0548   -0.522
   137  38.0850 -28.0415   1.4997   4.2197   2.2835  -0.5245  -0.0148  -0.1622  -0.1245  -0.0028   0.0000  -0.0952   0.0549   -0.515
   138  38.4133 -28.5725   1.5461   4.0888   2.1452  -0.5137  -0.0150  -0.1639  -0.1258  -0.0031   0.0000  -0.0959   0.0552   -0.512
   139  38.7312 -29.0866   1.5911   3.9621   2.0101  -0.5003  -0.0151  -0.1648  -0.1265  -0.0033   0.0000  -0.0965   0.0556   -0.513
