 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00663     Clsurf  =   0.00449
     CYsurf  =  -0.00053     Cmsurf  =  -0.02451
     CDsurf  =   0.00109     Cnsurf  =   0.00009
     CDisurf =   0.00109     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.01304     CDsurf  =   0.00213

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    57  40.5101  31.9637   1.8428   3.2529   1.4631  -0.3454  -0.0125  -0.1386  -0.1063  -0.0028   0.0000  -0.0782  -0.0442   -0.485
    58  40.7780  32.3972   1.8807   3.1461   1.3219  -0.3150  -0.0111  -0.1307  -0.1003  -0.0035   0.0000  -0.0762  -0.0438   -0.509
    59  41.0275  32.8007   1.9161   3.0466   1.1875  -0.2834  -0.0093  -0.1215  -0.0932  -0.0049   0.0000  -0.0719  -0.0417   -0.521
    60  41.2443  33.1513   1.9467   2.9602   0.9321  -0.2527  -0.0070  -0.1117  -0.0857  -0.0079   0.0000  -0.0640  -0.0366   -0.497
    61  41.4296  33.4511   1.9730   2.8863   0.8279  -0.2244  -0.0047  -0.1019  -0.0782  -0.0127   0.0000  -0.0504  -0.0266   -0.395
    62  41.8525  33.7408   1.9984   2.6418   0.7761  -0.1977  -0.0035  -0.3369  -0.0752  -0.0096   0.0000  -0.0198  -0.0006   -0.013
    63  42.4709  34.0170   2.0225   2.2558   0.5879  -0.1720  -0.0032  -0.3423  -0.0764  -0.0034   0.0000  -0.0153   0.0013    0.049
    64  43.0147  34.2599   2.0438   1.9163   0.4349  -0.1481  -0.0037  -0.3467  -0.0774  -0.0026   0.0000  -0.0143   0.0018    0.065
    65  43.4828  34.4691   2.0621   1.6240   0.3131  -0.1248  -0.0043  -0.3448  -0.0770  -0.0024   0.0000  -0.0148   0.0016    0.058
    66  43.8744  34.6440   2.0774   1.3796   0.2184  -0.1017  -0.0044  -0.3308  -0.0739  -0.0025   0.0000  -0.0163   0.0007    0.030
    67  44.1886  34.7843   2.0896   1.1834   0.1461  -0.0786  -0.0039  -0.2981  -0.0666  -0.0028   0.0000  -0.0178  -0.0007   -0.017
    68  44.4248  34.8899   2.0989   1.0359   0.0915  -0.0558  -0.0034  -0.2418  -0.0540  -0.0032   0.0000  -0.0176  -0.0019   -0.076
    69  44.5826  34.9603   2.1050   0.9375   0.0498  -0.0333  -0.0029  -0.1597  -0.0357  -0.0039   0.0000  -0.0139  -0.0022   -0.139
    70  44.6615  34.9956   2.1081   0.8882   0.0157  -0.0110  -0.0022  -0.0565  -0.0126  -0.0051   0.0000  -0.0057  -0.0011   -0.198

  Surface # 2     main_wing (YDUP)                        
     # Chordwise = 10   # Spanwise = 70     First strip = 71
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00663     Clsurf  =  -0.00449
     CYsurf  =   0.00053     Cmsurf  =  -0.02451
     CDsurf  =   0.00109     Cnsurf  =  -0.00009
     CDisurf =   0.00109     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.01304     CDsurf  =   0.00213

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    71  22.4080  -0.0042  -0.9570  12.4590   0.2104   1.1186  -0.0906   0.0898   0.0898  -0.0022   0.0000  -0.0521   0.0745    0.830
