 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =  -0.00177     Clsurf  =   0.00504
     CYsurf  =   0.00023     Cmsurf  =   0.00196
     CDsurf  =   0.00091     Cnsurf  =  -0.00019
     CDisurf =   0.00091     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =  -0.00349     CDsurf  =   0.00178

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
   105  25.3998  -7.5524  -0.3703   9.9031   5.9889   0.2114  -0.0234   0.0263   0.0213  -0.0005   0.0000  -0.0212   0.0225    1.243
   106  25.7806  -8.1608  -0.2956   9.5777   5.9462   0.1369  -0.0206   0.0176   0.0143  -0.0004   0.0000  -0.0192   0.0194    1.593
   107  26.1712  -8.7846  -0.2190   9.2440   5.8788   0.0723  -0.0176   0.0096   0.0078  -0.0003   0.0000  -0.0176   0.0167  999.000
   108  26.5709  -9.4230  -0.1406   8.9025   5.7875   0.0155  -0.0149   0.0021   0.0017  -0.0002   0.0000  -0.0164   0.0143  999.000
   109  26.9647 -10.0557  -0.0738   8.6530   5.3824  -0.0324  -0.0117  -0.0049  -0.0037  -0.0001   0.0000  -0.0154   0.0124  999.000
   110  27.3514 -10.6811  -0.0191   8.4988   5.3831  -0.0716  -0.0085  -0.0110  -0.0084  -0.0001   0.0000  -0.0147   0.0108  999.000
   111  27.7448 -11.3174   0.0366   8.3420   5.3704  -0.1068  -0.0064  -0.0167  -0.0128  -0.0000   0.0000  -0.0142   0.0094   -0.861
   112  28.1443 -11.9635   0.0931   8.1827   5.3448  -0.1388  -0.0051  -0.0221  -0.0170   0.0001   0.0000  -0.0139   0.0083   -0.572
   113  28.5492 -12.6185   0.1504   8.0213   5.3066  -0.1679  -0.0044  -0.0273  -0.0209   0.0001   0.0000  -0.0138   0.0073   -0.408
   114  28.9591 -13.2814   0.2084   7.8579   5.2564  -0.1948  -0.0041  -0.0323  -0.0248   0.0001   0.0000  -0.0137   0.0065   -0.304
   115  29.3731 -13.9510   0.2670   7.6928   5.1948  -0.2196  -0.0040  -0.0372  -0.0286   0.0002   0.0000  -0.0138   0.0057   -0.232
